Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
House,49,House District 49,"SMITH, LESLEY",Active,Democratic,LESLEY FOR COLORADO,Yes,Active,15018.8500,6117.2700,12397.9000,0.0000,0.0000,8738.2200,0.0000,0.0000
House,50,House District 50,"BUTLER, TOMMY",Active,Democratic,BUTLER FOR HD50,No,Active,0.0000,12305.0000,753.9400,0.0000,0.0000,11551.0600,650.0000,0.0000
House,50,House District 50,"GONZALEZ, RYAN",Active,Republican,GONZALEZ FOR 50,No,Active,4856.4800,24054.0000,13440.7400,0.0000,0.0000,15469.7400,0.0000,0.0000
House,50,House District 50,"HARVEY, JERRY",Active,Democratic,JERRY HARVEY FOR HOUSE DISTRICT 50,No,Active,0.0000,3350.0000,1400.6400,0.0000,0.0000,1949.3600,824.8500,824.8500
House,51,House District 51,"MARSH, JACKI",Active,Democratic,JACKI FOR COLORADO COMMITTEE,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,51,House District 51,"PARKINSON, BRAD",Terminated,Democratic,None,Yes,Terminated,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,51,House District 51,"PARKS, AMY",Active,Republican,COMMITTEE TO ELECT AMY PARKS,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,51,House District 51,"SAY, CHRISTOPHER MICHAEL",Active,Republican,COMMITTEE TO ELECT CHRISTOPHER SAY,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,51,House District 51,"WEINBERG, RON",Active,Republican,WEINBERG FOR COLORADO,No,Active,6936.2900,10345.4000,12394.1500,0.0000,0.0000,4887.5400,0.0000,0.0000
House,52,House District 52,"ZOKAIE, YARA",Active,Democratic,YARA FOR COLORADO,No,Active,12753.5600,13428.5600,19967.8300,0.0000,0.0000,6214.2900,0.0000,0.0000
House,53,House District 53,"BIRDSALL, JEFFREY NEALE",Active,Unaffiliated,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,53,House District 53,"BOESENECKER, ANDREW",Active,Democratic,ANDREW FOR COLORADO,No,Active,21014.0200,32689.0200,34425.6200,0.0000,0.0000,19277.4200,0.0000,0.0000
House,54,House District 54,"ANDERSON, NINA MARGARET",Active,Republican,ELECT NINA,Yes,Active,0.0000,2746.1500,3493.2200,2079.0600,0.0000,1331.9900,0.0000,0.0000
House,54,House District 54,"BIAS, JASON",Active,Republican,JASON BIAS FOR HOUSE DISTRICT 54,Yes,Active,0.0000,4122.5900,824.6300,0.0000,0.0000,3297.9600,167.8400,167.8400
House,54,House District 54,"MARTIN, MALLORY",Active,Democratic,MALLORY FOR COLORADO,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,54,House District 54,"TEDROW, WILLIAM",Active,Republican,COMMITTEE TO ELECT WILLIAM TEDROW,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,55,House District 55,"PACKARD, BRITTNI",Active,Democratic,VOTE BRITTNI FOR 55,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
